name,price,rating,reviews,sold,category,value_score,price_tier,is_overpriced,category_encoded,tier_encoded,pca_1,pca_2
"iPhome 4S 16GB – Kids’ Entertainment Device (iPhmne 4S) – Games, Camera, YouTube & TikTok Ready | Safe & Compact | 6 Months Warranty",4949.0,4.4,0,0,mobiles,8.890684986866034,Budget,0,2,0,0.3283583047652152,0.056561040983056914
Google Pixel 6a | 6GB ram | 128GB storage | dual sim approved | 4410mAh battery | original phone without box,48999.0,4.0,12,46,mobiles,0.8163431906773607,Mid-Range,0,2,1,0.006579122869822732,-0.045093143841476786
Redmi 15C 6GB +128GB - PTA APPROVED,35799.0,4.0,76,15,mobiles,1.1173496466381745,Mid-Range,0,2,1,-0.07322621311129383,-0.10379674059297965
Infinix Hot 60i 6GB+128GB PTA APPROVED,39499.0,4.0,8,360,mobiles,1.0126838654143142,Mid-Range,0,2,1,-1.0541153580746891,0.22167914573682232
Oppo A6c 4GB/64GB,33799.0,4.4,0,11,mobiles,1.301813663126128,Mid-Range,0,2,1,0.5356021085177671,0.024561901628838305
"Vivo Y20s | 8GB Ram 128GB Storage | 5000 MAH Battery + 18w Fast Charging | PTA Approve | Side FingerPrint | 6.51"" HD+ Halo Big Display | 13MP AI Triple Camera | Phone, Box, Charger | Mobile Phone On Installment",28105.0,4.4,0,5,mobiles,1.5655577299412915,Budget,0,2,0,0.5067134991551673,0.02782816340342803
OPPO A6 8GB + 256GB,60299.0,4.4,0,0,mobiles,0.7296970099006618,Mid-Range,0,2,1,0.7921828065648965,-0.0216372344870157
Tecno Camon 50 8GB RAM 256GB ROM 6500mAh Front Camera 32 MP Back Camera 50 MP Battery One Year Brand Warenty,74999.0,4.4,0,0,mobiles,0.5866744889931866,Premium,0,2,2,0.9153665495902862,-0.042405340167414374
Tecno SPARK 40 Pro 8GB+256GB PTA APPROVED,51499.0,4.0,47,817,mobiles,0.7767141109536108,Mid-Range,0,2,1,-2.427988088663378,0.5365723667881444
Samsung Galaxy A56 12/256GB - PTA APPROVED,123899.0,4.0,49,408,mobiles,0.3228436064859281,Premium,1,2,2,-0.5400423058622521,0.10692613581509944
Redmi A5 4 GB RAM ROM 64 Non Scanned - Non Active - PTA APPROVED,25899.0,4.0,58,39,mobiles,1.5444611761071856,Budget,0,2,0,-0.21279969320653327,-0.05588518520244017
"Infinix Note 60 5G 8GB + 8GB Ram 256GB Rom || 6.78 Inches AMOLED 144Hz 1.5K Display || IP64 , Mediatek Dimensity 7400 Ultimate || 6500 mAh Fast Charging 45W || Wireless 30W",89999.0,4.4,0,0,mobiles,0.4888943210480117,Premium,0,2,2,1.0410642465549695,-0.06359728473924979
Infinix Note 60 Pro 8GB RAM 256GB ROM Front Camera 13MP Back Camera 50MP 6500mAh  Battery One Year Brand Warrenty,110000.0,4.4,0,0,mobiles,0.4,Premium,1,2,2,1.2086695556876783,-0.09185462363133509
12 Pro - 256 GB - SIM-LOCK - (With Charger AND Cover) - DARAZ LIKE NEW PHONES,84999.0,4.4,0,0,mobiles,0.5176531488605749,Premium,0,2,2,0.9991650142334083,-0.056533303215304635
Vivo Y31d  8GB RAM 128GB ROM Front Camera 8 MP Back Camera 50 MP  7200 mAh Battery Health One Year Brand Warrenty,63999.0,4.4,0,0,mobiles,0.6875107423553494,Mid-Range,0,2,1,0.8231882384828517,-0.02686458081473509
Tecno Camon 50 Pro  - 6.78 Inches Curved Display - 8GB RAM 256GB ROM - 32MP Front Camera - 50MP+50MP+8MP Rear Camera - Dual SIM - 6500mAh Battery,91499.0,4.4,0,0,mobiles,0.4808795724543438,Premium,0,2,2,1.053634016251438,-0.06571647919643332
Google Pixel 6a (PTA Approved) 6GB RAM 128GB ROM | 5G Smartphone  AMOLED Display | Free Charger & Cover,49999.0,4.4,0,0,mobiles,0.880017600352007,Mid-Range,0,2,1,0.7058703879824807,-0.007085432547688732
Redmi 15 8GB+128GB - PTA APPROVED,45599.0,5.0,31,456,mobiles,1.096515274457773,Mid-Range,0,2,1,0.007186876580375659,0.4360324189766606
Redmi Note 14 8GB RAM + 256 GB ROM Non Scanned - Non Active - PTA APPROVED,59999.0,5.0,29,846,mobiles,0.8333472224537075,Mid-Range,0,2,1,-1.0937718178353346,0.727916962808568
12 - 128GB - SIM-LOCK - Good Condition - (FREE CHARGER AND COVER) - DARAZ LIKE NEW PHONES,68999.0,4.4,0,0,mobiles,0.637690401310164,Mid-Range,0,2,1,0.8650874708044127,-0.03392856233868022
Realme GT7 12GB RAM 512GB ROM - PTA APPROVED,199999.0,4.0,22,79,mobiles,0.200001000005,Premium,1,2,2,1.158007224573386,-0.2403742117664587
vivo Y05 - (4+4)GB Extended RAM - 64GB / 128GB ROM - 13MP Rear Camera - 6500mAh Battery -  Side FingerPrint,36999.0,5.0,1,6,mobiles,1.3513878753479822,Mid-Range,0,2,1,1.3782411699138855,0.11450422238794199
Honor X9d - AMOLED LCD - 6.79 Inches Display - 12GB RAM 256GB ROM - 16MP Front Camera - 108MP+5MP Rear Camera - Snapdragon 6 Gen 4 Chipset - Dual SIM - 8300mAh Battery,117999.0,4.4,0,0,mobiles,0.3728845159704743,Premium,1,2,2,1.2756999475557118,-0.1031555812733425
